Timestamp,From Bank,From Account,To Bank,To Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format
2024-01-15 14:30:00,12345,ABC123DEF456,67890,XYZ789GHI012,1500.0,USD,1250.0,EUR,wire
2024-01-16 09:15:00,54321,DEF456ABC123,98765,GHI012XYZ789,2000.0,GBP,2300.0,EUR,ACH
2024-01-17 11:45:00,11223,GHI789XYZ456,33445,ABC456DEF789,750.0,EUR,820.0,USD,wire
2024-01-18 16:20:00,99887,JKL012MNO345,77665,PQR678STU901,1200.0,USD,1100.0,CAD,check
2024-01-19 08:50:00,33445,MNO345JKL012,55667,STU901PQR678,500.0,CAD,420.0,USD,ACH
2024-01-20 13:35:00,77889,PQR678STU901,11223,MNO345JKL012,2500.0,EUR,2700.0,GBP,wire
2024-01-21 10:10:00,66778,STU901PQR678,88990,JKL012MNO345,1800.0,USD,1650.0,EUR,wire
2024-01-22 14:55:00,44556,VWX123ABC456,22334,YZA789DEF012,950.0,GBP,1020.0,EUR,check
2024-01-23 12:05:00,55667,YZA789DEF012,33445,VWX123ABC456,1300.0,EUR,1400.0,USD,ACH
2024-01-24 15:40:00,88990,DEF012GHI345,66778,ABC456XYZ789,2200.0,USD,2050.0,EUR,wire
